db,type,length
ENSEMBL,contig,180526
ENSEMBL,contig,33316
ENSEMBL,contig,1942019
ENSEMBL,contig,14931
ENSEMBL,contig,14182
ENSEMBL,contig,2112
ENSEMBL,contig,27584
ENSEMBL,contig,161244
ENSEMBL,contig,47241
ENSEMBL,contig,3277
ENSEMBL,contig,4731
ENSEMBL,contig,6700
ENSEMBL,contig,15889
ENSEMBL,contig,565223
ENSEMBL,contig,41139
ENSEMBL,contig,45296
ENSEMBL,contig,821661
ENSEMBL,contig,126382
ENSEMBL,contig,717826
ENSEMBL,contig,704773
ENSEMBL,contig,218723
ENSEMBL,contig,105021
ENSEMBL,contig,344910
ENSEMBL,contig,23583
ENSEMBL,contig,11385
ENSEMBL,contig,3312
ENSEMBL,contig,4997
ENSEMBL,contig,978
ENSEMBL,contig,307614
ENSEMBL,contig,4124
ENSEMBL,contig,53511
ENSEMBL,contig,12081
ENSEMBL,contig,51713
ENSEMBL,contig,1211
ENSEMBL,contig,65182
ENSEMBL,contig,928
ENSEMBL,contig,32307
ENSEMBL,contig,4962
